PDB ID,Metabolism,SourceSet,EnzymeFamily,SourceSetDetail
1APX,ROS Detox,FeBinding_primary108,,FeBinding_primary108
1B4U,Aromatic Dioxygenation,FeBinding_primary108,,FeBinding_primary108
1CC1,Anaerobic Hydrogen Metabolism,Legacy_FE_NI_shared_families,NiFe_hydrogenases,FE+NI_overlap
1CNO,Nitrification,FeBinding_primary108,,FeBinding_primary108
1DMH,Aromatic Dioxygenation,FeBinding_primary108,,FeBinding_primary108
1E3D,Anaerobic Hydrogen Metabolism,Legacy_FE_NI_shared_families,NiFe_hydrogenases,FE+NI_overlap
1E6V,Anaerobic Methane,Ni_primary_expanded,Methyl-coenzyme M reductase,Ni_primary_expanded
1E6Y,Anaerobic Methane,Ni_primary_expanded,Methyl-coenzyme M reductase,Ni_primary_expanded
1E9Y,Nitrogen Metabolism,Ni_primary_expanded,Urease,Ni_primary_expanded
1E9Z,Nitrogen Metabolism,Ni_primary_expanded,Urease,Ni_primary_expanded
1EB7,ROS Detox,FeBinding_primary108,,FeBinding_primary108
1EIQ,Aromatic Dioxygenation,FeBinding_primary108,,FeBinding_primary108
1EJW,Nitrogen Metabolism,Ni_primary_expanded,Urease,Ni_primary_expanded
1F9Z,Detox / Carbon Stress,Ni_primary_expanded,Glyoxalase I (Ni-dependent lineages),Ni_primary_expanded
1FDO,Anaerobic Acetogenesis,FeBinding_primary108,,FeBinding_primary108
1FDX,Anaerobic Acetogenesis,FeBinding_primary108,,FeBinding_primary108
1FFV,Anaerobic Acetogenesis,Legacy_FE_NI_shared_families,CODH,Legacy_FE_NI_shared_families
1FRV,Anaerobic Hydrogen Metabolism,Legacy_FE_NI_shared_families,NiFe_hydrogenases,FE+NI_overlap
1FS7,Anaerobic Respiration,FeBinding_primary108,,FeBinding_primary108
1FT5,Nitrification,FeBinding_primary108,,FeBinding_primary108
1FT6,Nitrification,FeBinding_primary108,,FeBinding_primary108
1H2R,Anaerobic Hydrogen Metabolism,Legacy_FE_NI_shared_families,NiFe_hydrogenases,FE+NI_overlap
1HBM,Anaerobic Methane,Ni_primary_expanded,Methyl-coenzyme M reductase,Ni_primary_expanded
1HBN,Anaerobic Methane,Ni_primary_expanded,Methyl-coenzyme M reductase,Ni_primary_expanded
1HBO,Anaerobic Methane,Ni_primary_expanded,Methyl-coenzyme M reductase,Ni_primary_expanded
1HBU,Anaerobic Methane,Ni_primary_expanded,Methyl-coenzyme M reductase,Ni_primary_expanded
1HFE,Anaerobic Hydrogen Metabolism,FeBinding_primary108,,FeBinding_primary108
1IPH,ROS Detox,FeBinding_primary108,,FeBinding_primary108
1IQC,ROS Detox,FeBinding_primary108,,FeBinding_primary108
1IYN,ROS Detox,FeBinding_primary108,,FeBinding_primary108
1JQ4,Unknown,FeBinding_primary108,,FeBinding_primary108
1JQK,Anaerobic Acetogenesis,Legacy_FE_NI_shared_families,CODH,FE+NI_overlap
1KRB,Nitrogen Metabolism,Ni_primary_expanded,Urease,Ni_primary_expanded
1KRH,Aromatic Dioxygenation,FeBinding_primary108,,FeBinding_primary108
1M1Q,Anaerobic Metal Reduction,FeBinding_primary108,,FeBinding_primary108
1M56,Unknown,FeBinding_primary108,,FeBinding_primary108
1MHY,Unknown,FeBinding_primary108,,FeBinding_primary108
1MJG,Anaerobic Acetogenesis,Legacy_FE_NI_shared_families,CODH,FE+NI_overlap
1MRO,Anaerobic Methane,Ni_primary_expanded,Methyl-coenzyme M reductase,Ni_primary_expanded
1N5W,Anaerobic Acetogenesis,Legacy_FE_NI_shared_families,CODH,Legacy_FE_NI_shared_families
1NDO,Aromatic Dioxygenation,FeBinding_primary108,,FeBinding_primary108
1NIR,Anaerobic Respiration,FeBinding_primary108,,FeBinding_primary108
1OAO,Anaerobic Acetogenesis,FeBinding_primary108,,FeBinding_primary108
1OS6,Anaerobic Metal Reduction,FeBinding_primary108,,FeBinding_primary108
1Q0D,ROS Detox,Ni_primary_expanded,Ni superoxide dismutase,Ni_primary_expanded
1Q0K,ROS Detox,Ni_primary_expanded,Ni superoxide dismutase,Ni_primary_expanded
1Q0M,ROS Detox,Ni_primary_expanded,Ni superoxide dismutase,Ni_primary_expanded
1Q16,Anaerobic Respiration,FeBinding_primary108,,FeBinding_primary108
1QJD,Anaerobic Respiration,FeBinding_primary108,,FeBinding_primary108
1QLA,Anaerobic Sulfur Metabolism,FeBinding_primary108,,FeBinding_primary108
1RU3,Anaerobic Acetogenesis,Ni_primary_expanded,Acetyl-CoA synthase (Ni site),Ni_primary_expanded
1SOX,Sulfur Oxidation,FeBinding_primary108,,FeBinding_primary108
1SU6,Anaerobic Acetogenesis,Legacy_FE_NI_shared_families,CODH,FE+NI_overlap
1SU7,Anaerobic Acetogenesis,Legacy_FE_NI_shared_families,CODH,FE+NI_overlap
1SUF,Anaerobic Acetogenesis,Legacy_FE_NI_shared_families,CODH,FE+NI_overlap
1T0Q,Methane Oxidation,FeBinding_primary108,,FeBinding_primary108
1T0R,Aromatic Dioxygenation,FeBinding_primary108,,FeBinding_primary108
