scenario,track,metric,n_pdb_fe,n_pdb_ni,mean_fe,mean_ni,mean_diff_fe_minus_ni,mean_diff_ci_low,mean_diff_ci_high,p_value_welch,effect_size_cohens_d,effect_size_d_ci_low,effect_size_d_ci_high,sensitivity_flags
primary_all,TrackB_global_composition_sensitive,Average Hydropathy,140,90,0.786567718650122,0.0231437232861289,0.7634239953639931,0.36283723774400406,1.1704178372382583,0.0003455912791267995,0.5012616875887264,0.2331096808853066,0.7751348569627214,none
primary_all,TrackB_global_composition_sensitive,Hydropathy SD,140,90,1.739436748488664,2.1828164580859277,-0.4433797095972638,-0.695440259013683,-0.18851890700451937,0.0007166228794072597,-0.4448041465393831,-0.7251335959776355,-0.2010450225067492,none
primary_all,TrackB_global_composition_sensitive,cys_fraction,140,90,0.44653341496809623,0.30923179058595723,0.137301624382139,0.04494166736982623,0.22684369491342352,0.0037286869502474165,0.37082813122653796,0.12168527933806132,0.6255721601762335,none
primary_all,TrackA_shared_family_identity_pooled,Average Hydropathy,46,42,1.7625498595272149,1.1141864311283955,0.6483634283988193,0.37316396411595415,0.9445554857186441,5.003331328278843e-05,0.9177421643080457,0.4666522135630795,1.4894357905775648,none
primary_all,TrackA_shared_family_identity_pooled,Hydropathy SD,46,42,1.0897538856219255,2.314091531533601,-1.2243376459116755,-1.5197836988963682,-0.8903579084163246,2.3696211507576265e-10,-1.5515883768527334,-2.3886797756853007,-0.9993008668791099,none
primary_all,TrackA_shared_family_identity_pooled,cys_fraction,46,42,0.8068697144958791,0.5577611184009994,0.24910859609487968,0.17480502015621072,0.32288064863042193,1.191572654317088e-08,1.3704231661144637,0.8858560234993097,2.0041106369575448,none
sensitivity_exclude_flagged,TrackB_global_composition_sensitive,Average Hydropathy,140,82,0.786567718650122,0.2441105131692511,0.542457205480871,0.13410332130205696,0.9596750420476324,0.009198090770565966,0.3668742483303555,0.08697550296209365,0.6520569709744233,"exclude_pdbs_flagged_in_ni_master=17; criteria=(include!=yes OR mutation in {Yes,review_required} OR engineered in {Yes,review_required})"
sensitivity_exclude_flagged,TrackB_global_composition_sensitive,Hydropathy SD,140,82,1.739436748488664,2.2505196836571044,-0.5110829351684405,-0.7546365236494775,-0.25304581468781884,0.00011738270185820226,-0.5153051825957244,-0.7836880349788419,-0.23363971939531997,"exclude_pdbs_flagged_in_ni_master=17; criteria=(include!=yes OR mutation in {Yes,review_required} OR engineered in {Yes,review_required})"
sensitivity_exclude_flagged,TrackB_global_composition_sensitive,cys_fraction,140,82,0.44653341496809623,0.339400745765075,0.10713266920302122,0.012120244359134972,0.19760916012679933,0.02570353423762805,0.2881215419342794,0.05552317854645856,0.5421118752333048,"exclude_pdbs_flagged_in_ni_master=17; criteria=(include!=yes OR mutation in {Yes,review_required} OR engineered in {Yes,review_required})"
sensitivity_exclude_flagged,TrackA_shared_family_identity_pooled,Average Hydropathy,46,42,1.7625498595272149,1.1141864311283955,0.6483634283988193,0.34432967017999205,0.9327674252940621,5.003331328278843e-05,0.9177421643080457,0.47833666503608785,1.4892206570009812,"exclude_pdbs_flagged_in_ni_master=17; criteria=(include!=yes OR mutation in {Yes,review_required} OR engineered in {Yes,review_required})"
sensitivity_exclude_flagged,TrackA_shared_family_identity_pooled,Hydropathy SD,46,42,1.0897538856219255,2.314091531533601,-1.2243376459116755,-1.525999508857465,-0.8604801449247669,2.3696211507576265e-10,-1.5515883768527334,-2.38820120228308,-0.9916145396051379,"exclude_pdbs_flagged_in_ni_master=17; criteria=(include!=yes OR mutation in {Yes,review_required} OR engineered in {Yes,review_required})"
sensitivity_exclude_flagged,TrackA_shared_family_identity_pooled,cys_fraction,46,42,0.8068697144958791,0.5577611184009994,0.24910859609487968,0.17219074488600877,0.32319773989489636,1.191572654317088e-08,1.3704231661144637,0.8724567345235761,2.0162925979711845,"exclude_pdbs_flagged_in_ni_master=17; criteria=(include!=yes OR mutation in {Yes,review_required} OR engineered in {Yes,review_required})"
